,name,dst_cm_B1,dst_cm_B2,dst_cm_C,dst_cm_D1,dst_cm_D2,dst_cm_E1,dst_cm_E2,time_B1,time_B2,time_C,time_D1,time_D2,time_E1,time_E2,sharps_B1,sharps_B2,sharps_C,sharps_D1,sharps_D2,sharps_E1,sharps_E2,speed_cms_mean,speed_cms_max,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,dirs_1_B1,dirs_2_B1,dirs_3_B1,dirs_4_B1,dirs_5_B1,dirs_6_B1,dirs_7_B1,dirs_8_B1,dirs_1_B2,dirs_2_B2,dirs_3_B2,dirs_4_B2,dirs_5_B2,dirs_6_B2,dirs_7_B2,dirs_8_B2,dirs_1_C,dirs_2_C,dirs_3_C,dirs_4_C,dirs_5_C,dirs_6_C,dirs_7_C,dirs_8_C,dirs_1_D1,dirs_2_D1,dirs_3_D1,dirs_4_D1,dirs_5_D1,dirs_6_D1,dirs_7_D1,dirs_8_D1,dirs_1_D2,dirs_2_D2,dirs_3_D2,dirs_4_D2,dirs_5_D2,dirs_6_D2,dirs_7_D2,dirs_8_D2,dirs_1_E1,dirs_2_E1,dirs_3_E1,dirs_4_E1,dirs_5_E1,dirs_6_E1,dirs_7_E1,dirs_8_E1,dirs_1_E2,dirs_2_E2,dirs_3_E2,dirs_4_E2,dirs_5_E2,dirs_6_E2,dirs_7_E2,dirs_8_E2
0,Trial01,15.04,37.91,11.99,11.91,2.39,46.35,7.82,74.12,105.36,18.83,21.94,3.89,138.46,15.96,39.28,51.31,8.47,9.37,1.69,65.31,7.25,0.35,1.62,90,13,5,12,14,4,37.67,0.77,1.18,0.86,1.49,0.55,1.18,0.7,46.57,2.24,2.3,1.58,3.49,2.35,2.45,2.13,7.03,1.04,0.48,0.43,0.55,0.97,0.45,0.33,8.34,0.5,0.59,0.94,1.13,0.6,0.54,0.5,1.33,0.23,0.14,0.09,0.09,0.21,0.13,0.11,59.36,2.74,5.0,2.23,2.81,3.1,5.36,2.34,5.92,0.6,0.49,0.49,0.57,0.48,0.45,0.56
1,Trial02,15.32,27.74,5.36,9.51,3.09,7.27,7.76,60.92,199.4,19.58,39.37,8.56,27.75,26.91,30.59,107.8,9.11,19.22,3.59,12.43,12.39,0.2,1.37,171,5,2,20,2,2,29.19,0.62,1.52,0.86,1.42,0.69,1.57,0.62,105.24,1.28,2.48,1.04,4.27,1.55,2.46,1.12,8.72,0.25,0.44,0.22,1.32,0.25,0.39,0.14,18.35,0.43,0.78,0.45,2.06,0.46,0.63,0.42,3.15,0.12,0.51,0.15,0.28,0.16,0.48,0.28,11.81,0.27,1.87,0.15,0.36,0.43,1.44,0.29,11.61,0.36,0.91,0.5,0.8,0.46,1.12,0.36
2,Trial03,0.45,23.16,14.57,27.62,3.81,28.07,1.18,2.24,116.39,50.18,85.76,15.69,109.63,6.01,1.12,58.97,23.75,39.41,7.85,50.81,2.82,0.26,1.43,20,9,12,18,8,2,1.12,0.0,0.04,0.05,0.07,0.02,0.04,0.0,56.9,0.96,2.14,1.35,4.23,0.77,2.3,1.07,21.96,0.84,1.32,0.82,1.96,0.97,1.33,0.86,36.65,1.14,2.4,1.75,4.5,1.28,2.1,1.55,7.43,0.13,0.39,0.12,0.45,0.25,0.39,0.24,48.01,1.27,4.94,1.38,2.02,1.33,5.5,1.22,2.69,0.04,0.37,0.01,0.03,0.04,0.34,0.08
3,Trial04,1.74,21.05,11.47,0.6,0.0,20.47,4.32,24.39,169.07,22.9,1.22,0.0,43.39,13.81,14.24,97.63,10.84,0.55,0.0,20.52,7.26,0.22,2.01,28,13,2,0,8,4,14.18,0.04,0.05,0.08,0.14,0.04,0.06,0.02,96.36,0.58,0.67,0.55,0.82,0.67,1.0,0.62,9.7,0.62,0.45,0.2,1.04,0.57,0.69,0.45,0.45,0.08,0.02,0.01,0.1,0.03,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.78,0.52,1.15,0.64,1.23,1.06,1.75,0.86,6.56,0.22,0.17,0.17,0.29,0.1,0.3,0.46
4,Trial05,6.02,8.52,11.42,16.62,4.08,23.6,0.0,71.69,43.72,51.22,43.12,8.33,168.65,0.0,40.21,22.33,25.99,19.01,3.35,88.69,0.0,0.18,0.86,53,4,10,10,10,0,39.71,0.2,0.67,0.45,0.89,0.19,0.57,0.26,21.58,0.35,0.54,0.41,1.88,0.46,0.62,0.35,24.5,0.41,1.0,0.65,1.62,0.52,0.97,1.01,17.75,0.35,1.0,1.01,3.17,0.64,1.03,0.88,2.82,0.27,0.36,0.22,0.32,0.28,0.5,0.22,86.09,1.31,4.02,1.1,2.13,1.47,3.97,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Trial06,0.05,9.62,8.25,7.71,0.0,112.1,61.05,0.23,31.84,26.74,18.0,0.0,262.3,123.26,0.1,14.86,12.41,7.52,0.0,115.8,53.74,0.43,0.99,4,6,4,0,10,18,0.1,0.0,0.01,0.02,0.01,0.0,0.0,0.0,13.73,0.67,0.97,0.38,1.32,0.69,0.89,0.42,11.11,0.74,0.96,0.55,0.91,0.56,0.67,0.52,6.41,0.5,0.59,0.44,1.22,0.42,0.65,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.26,6.55,9.73,6.46,9.92,7.03,9.43,6.74,47.3,3.27,4.31,3.75,5.43,3.4,3.82,2.55
6,Trial07,2.83,26.38,32.37,7.22,22.9,15.09,0.0,16.14,89.52,79.2,17.53,115.99,42.6,0.0,7.99,42.33,35.09,7.94,60.32,18.81,0.0,0.3,0.83,16,27,16,6,7,0,7.71,0.16,0.55,0.15,0.34,0.21,0.44,0.11,39.68,1.16,2.3,1.24,4.1,1.44,2.31,1.39,31.77,1.72,1.62,1.2,6.13,1.7,1.78,1.52,7.02,0.28,0.36,0.49,1.05,0.29,0.39,0.62,57.55,1.33,2.24,1.17,2.49,1.06,2.4,1.24,16.88,0.96,2.33,0.65,0.88,0.73,2.3,0.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Trial08,3.32,30.12,15.42,1.94,0.0,3.43,0.0,12.32,141.84,76.49,1.57,0.0,3.16,0.0,5.2,67.72,36.91,0.44,0.0,0.66,0.0,0.23,1.69,44,7,2,0,2,0,4.84,0.25,0.5,0.12,0.66,0.26,0.64,0.11,64.59,1.35,4.11,1.92,5.74,1.39,4.12,1.74,35.56,0.7,2.32,0.57,2.7,0.87,2.44,0.66,0.33,0.05,0.09,0.18,0.22,0.0,0.01,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.04,0.34,0.28,0.1,0.16,0.45,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Trial09,0.0,0.0,7.09,0.0,0.0,0.0,0.0,0.0,0.0,231.27,0.0,0.0,0.0,0.0,0.0,0.0,133.93,0.0,0.0,0.0,0.0,0.03,0.49,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.9,0.98,1.74,0.05,0.26,0.83,1.75,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Trial10,11.79,21.36,17.12,22.03,1.54,20.29,7.68,190.58,63.47,22.2,41.09,3.39,52.65,23.64,109.88,32.96,10.38,18.6,1.42,25.04,11.06,0.25,3.21,60,17,10,12,8,24,108.95,0.21,1.05,0.85,0.94,0.18,1.4,0.58,31.94,0.3,0.78,0.59,2.64,0.4,0.78,0.59,9.59,0.58,0.32,0.21,1.4,0.64,0.39,0.17,16.95,0.64,1.32,1.0,1.85,0.62,1.33,0.9,1.19,0.13,0.2,0.09,0.09,0.09,0.14,0.1,23.28,0.87,2.65,0.54,0.71,0.65,2.44,0.4,10.11,0.5,0.95,0.32,0.8,0.42,0.76,0.3
