,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior
0,6685.84,10889.99,614.55,384.89,49.07,7200.58,609.03,B2E1B1CE2D1D2,"MS,ME,Le,MA"
1,10432.64,35122.14,181.58,875.65,174.29,872.79,793.26,B2B1D1E1E2CD2,"MS,ME,Le,MA"
2,45.25,3398.47,1469.79,2600.42,286.23,1027.9,7.91,B2D1CE1D2B1E2,"MS,ME,Me,LA"
3,684.66,6952.92,538.17,3.04,0.0,982.86,200.15,B2E1B1CE2D1,"MS,ME,Ae,MA"
4,3805.59,2500.56,1240.7,879.02,87.38,8407.19,0.0,E1B1B2CD1D2,"MS,ME,Le,AA"
5,0.97,328.02,543.05,79.71,0.0,2761.33,73.38,E1CB2D1E2B1,"LS,ME,Ae,MA"
6,261.07,3875.74,3992.37,392.88,718.84,641.74,0.0,CB2D2E1D1B1,"LS,HE,Me,AA"
7,545.4,7263.96,856.81,5.08,0.0,25.04,0.0,B2CB1E1D1,"MS,ME,Ae,AA"
8,0.0,0.0,7.09,0.0,0.0,0.0,0.0,C,"AS,HE,LE,Ae,AA"
9,11446.59,4908.55,794.12,926.01,42.22,6177.71,2583.26,B1E1B2E2D1CD2,"HS,ME,Le,MA"
10,18.65,149.21,684.32,559.4,0.0,4937.02,59.26,E1CD1B2E2B1,"LS,ME,Ae,MA"
11,1331.78,1921.99,120.65,292.31,123.05,2828.4,0.0,E1B2B1D1D2C,"MS,LE,Me,AA"
12,24.97,4428.8,1808.35,8763.18,1154.55,45.79,0.0,D1B2CD2E1B1,"LS,ME,Me,AA"
13,7.9,415.4,228.92,1097.05,0.0,81.75,0.0,D1B2CE1B1,"LS,ME,Ae,AA"
14,191.87,7348.96,431.62,13.55,0.0,385.44,17.73,B2CE1B1E2D1,"MS,ME,Ae,MA"
15,0.0,0.0,0.0,0.0,0.0,18.44,12.13,E1E2,"AS,AE,Ae,LA"
16,1.16,60.29,330.03,200.63,14.33,2376.75,39.49,E1CD1B2E2D2B1,"LS,ME,Me,MA"
17,0.0,0.0,243.05,0.0,0.0,6.32,0.0,CE1,"AS,HE,Ae,AA"
18,0.0,0.0,28.33,0.0,0.0,1964.74,0.0,E1C,"AS,LE,Ae,AA"
19,0.0,0.0,0.0,0.0,0.0,0.67,0.0,E1,"AS,AE,Ae,AA"
20,0.0,0.0,26.19,45.08,0.0,693.02,9.34,E1D1CE2,"AS,ME,Ae,LA"
21,0.0,0.0,14.52,0.0,0.0,500.65,0.0,E1C,"AS,LE,Ae,AA"
22,0.0,0.0,0.0,0.0,0.0,11.82,0.0,E1,"AS,AE,Ae,AA"
23,2.39,1191.29,418.48,0.0,0.0,2241.22,74.06,E1B2CE2B1,"LS,ME,Ae,MA"
24,41.26,1156.81,89.29,0.0,0.0,623.26,143.06,B2E1E2CB1,"LS,ME,Ae,MA"
25,1994.59,4288.42,125.45,258.97,0.0,2575.87,1158.33,B2E1B1E2D1C,"MS,LE,Ae,MA"
26,15.07,737.64,3647.86,1170.62,0.0,1385.6,71.74,CE1D1B2E2B1,"LS,HE,Ae,MA"
27,0.0,0.0,0.0,0.0,0.0,1.62,504.64,E2E1,"AS,AE,Ae,HA"
28,0.0,30.49,184.34,0.0,0.0,969.1,0.0,E1CB2,"AS,ME,Ae,AA"
29,3602.0,1033.13,879.61,0.25,0.0,9829.03,2300.84,E1B1E2B2CD1,"MS,ME,Ae,MA"
30,668.84,2501.68,230.96,0.0,0.0,1357.19,47.87,B2E1B1CE2,"MS,ME,Ae,LA"
31,0.0,250.97,1090.66,3583.78,689.18,695.36,20.61,D1CE1D2B2E2,"AS,ME,Me,LA"
32,20480.05,27971.17,3153.89,1039.51,0.0,3187.51,83.72,B2B1E1CD1E2,"MS,ME,Ae,LA"
33,428.27,7387.75,2428.95,431.79,0.0,1327.59,85.22,B2CE1D1B1E2,"MS,ME,Ae,LA"
34,0.0,26.55,505.98,0.0,0.0,3401.56,3.53,E1CB2E2,"AS,ME,Ae,LA"
35,52.64,744.01,605.46,1247.75,1397.84,526.65,0.0,D2D1B2CE1B1,"LS,ME,He,AA"
36,138.26,1146.3,991.47,1106.93,101.44,1526.12,90.06,E1B2D1CB1D2E2,"MS,ME,Me,LA"
37,24957.46,48461.88,1705.47,715.71,0.0,575.36,0.0,B2B1CD1E1,"MS,ME,Ae,AA"
38,1435.5,2373.32,122.24,0.0,0.0,5993.95,812.87,E1B2B1E2C,"MS,LE,Ae,MA"
39,7935.1,11045.41,619.7,1536.27,553.39,4866.9,1479.37,B2B1E1D1E2CD2,"MS,ME,Le,MA"
40,580.67,1651.84,583.92,0.0,0.0,3109.99,847.83,E1B2E2CB1,"LS,ME,Ae,MA"
41,25.3,4068.01,828.62,62.47,0.0,1117.34,0.0,B2E1CD1B1,"LS,ME,Ae,AA"
42,21038.65,48636.91,639.7,18.61,0.0,2897.42,0.0,B2B1E1CD1,"MS,ME,Ae,AA"
43,226.41,9004.29,4428.93,1456.74,0.0,459.88,134.7,B2CD1E1B1E2,"MS,ME,Ae,LA"
44,1178.16,6791.61,518.59,65.04,8.61,2124.89,0.0,B2E1B1CD1D2,"MS,ME,Le,AA"
45,12947.26,5357.41,1427.94,30.96,0.0,9005.47,0.0,B1E1B2CD1,"HS,ME,Ae,AA"
46,183.05,3923.76,668.24,0.0,0.0,526.12,0.0,B2CE1B1,"LS,ME,Ae,AA"
47,522.52,9213.06,2722.23,414.22,6.9,2268.4,134.11,B2CE1B1D1E2D2,"MS,ME,Le,MA"
48,304.65,4219.84,483.7,773.5,0.08,1326.91,5.37,B2E1D1CB1E2D2,"MS,ME,Le,MA"
49,5430.35,7526.07,624.27,110.71,0.0,112.97,0.0,B2B1CE1D1,"MS,ME,Ae,AA"
50,0.0,0.0,0.0,0.0,0.0,13.48,13.53,E2E1,"AS,AE,Ae,HA"
51,26.48,74.12,55.29,0.0,0.0,1001.89,22.43,E1B2CB1E2,"MS,ME,Ae,LA"
52,0.0,0.0,0.0,0.0,0.0,12.38,1.32,E1E2,"AS,AE,Ae,LA"
53,28831.49,42166.56,904.99,117.19,4.41,3110.28,709.26,B2B1E1CE2D1D2,"MS,ME,Le,MA"
54,256.47,3492.45,193.54,614.01,0.0,1428.4,135.48,B2E1D1B1CE2,"MS,ME,Ae,LA"
55,9559.06,24745.48,2349.41,1068.75,0.0,3416.19,367.1,B2B1E1CD1E2,"MS,ME,Ae,LA"
56,6741.91,1469.68,404.53,182.6,51.82,2360.49,0.0,B1E1B2CD1D2,"HS,ME,Le,AA"
57,11781.35,21674.3,489.27,54.84,0.0,4486.54,263.16,B2B1E1CE2D1,"MS,ME,Ae,MA"
58,0.0,0.0,1608.36,1261.44,0.0,2968.48,0.0,E1CD1,"AS,ME,Ae,AA"
59,3.21,475.63,642.6,715.11,471.41,671.9,102.01,D1E1CB2D2E2B1,"LS,ME,Me,MA"
60,439.62,1949.06,1675.37,1149.55,101.94,3546.31,727.01,E1B2CD1E2B1D2,"MS,ME,Le,MA"
61,0.0,0.0,291.48,2015.27,111.25,1688.46,31.68,D1E1CD2E2,"AS,ME,Me,LA"
