,frame,x,y,ts,dst_px,dst_cm,speed_cms,angle,dir,box,wall_hit_B1B2,wall_hit_B2C,wall_hit_CD1,wall_hit_D1D2,wall_hit_CE1,wall_hit_E1E2,sharp_turns
0,3,361,469,0.05,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
1,4,361,469,0.07,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
2,5,361,469,0.08,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
3,6,361,469,0.1,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
4,7,361,469,0.12,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
5,8,361,469,0.13,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
6,9,361,469,0.15,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
7,10,361,469,0.17,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
8,11,361,469,0.18,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
9,12,361,469,0.2,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
10,13,361,469,0.22,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
11,14,361,469,0.23,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
12,15,361,469,0.25,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
13,16,361,469,0.27,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
14,17,361,469,0.28,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
15,18,361,469,0.3,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
16,19,361,469,0.32,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
17,20,361,469,0.33,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
18,21,361,469,0.35,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
19,22,361,469,0.37,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
20,23,361,469,0.38,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
21,24,361,469,0.4,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
22,25,361,469,0.42,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
23,26,361,469,0.43,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
24,27,361,469,0.45,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
25,28,361,469,0.47,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
26,29,361,469,0.48,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
27,30,361,469,0.5,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
28,31,361,469,0.52,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
29,32,361,469,0.53,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
30,33,361,469,0.55,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
31,34,361,469,0.57,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
32,35,361,469,0.58,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
33,36,361,469,0.6,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
34,37,361,469,0.62,0.0,0.0,,0.0,1,E1,0,0,0,0,0,0,1
