,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior
0,1245.13,2014.89,1279.18,366.25,14.56,2762.01,641.97,E1B2CB1E2D1D2,"MS,ME,Le,MA"
1,103.77,345.12,753.17,236.0,24.85,1488.27,83.26,E1CB2D1B1E2D2,"MS,ME,Le,MA"
2,867.53,774.8,32.85,7.69,0.0,1451.65,2819.75,E2E1B1B2CD1,"MS,ME,Ae,HA"
3,6129.29,2719.65,1054.37,660.9,54.48,522.0,52.95,B1B2CD1E1D2E2,"HS,ME,Me,LA"
4,7059.99,5571.58,1204.62,228.35,0.05,732.5,370.84,B1B2CE1E2D1D2,"HS,ME,Le,MA"
5,4515.43,1918.2,336.31,575.0,295.01,2685.83,467.52,B1E1B2D1E2CD2,"HS,ME,Le,MA"
6,5817.72,3626.1,1658.89,311.75,15.13,2190.69,300.38,B1B2E1CD1E2D2,"HS,ME,Le,MA"
7,6303.42,2623.93,699.48,273.16,7.53,629.56,1526.17,B1B2E2CE1D1D2,"HS,ME,Le,MA"
8,2298.65,1791.06,198.23,0.0,0.0,540.65,2119.08,B1E2B2E1C,"HS,LE,Ae,MA"
9,624.56,464.51,367.67,1237.43,301.92,59.68,1324.98,E2D1B1B2CD2E1,"MS,ME,Me,HA"
10,10358.55,3071.05,299.97,27.83,3.58,1841.13,493.63,B1B2E1E2CD1D2,"HS,ME,Le,MA"
11,527.32,38.04,217.22,330.74,91.04,1468.83,1656.85,E2E1B1D1CD2B2,"MS,ME,Me,HA"
12,9120.14,6359.17,1362.13,319.97,18.11,751.75,0.0,B1B2CE1D1D2,"HS,ME,Le,AA"
13,331.64,2.25,1.13,0.0,0.0,35.06,1203.79,E2B1E1B2C,"MS,LE,Ae,HA"
14,4944.3,491.86,373.93,397.04,39.62,0.0,0.0,B1B2D1CD2,"HS,ME,Le,AA"
15,4169.65,4565.33,688.98,34.4,1.5,2395.24,946.89,B2B1E1E2CD1D2,"MS,ME,Le,MA"
16,2510.97,4132.86,2235.65,1181.87,81.16,441.91,626.4,B2B1CD1E2E1D2,"MS,ME,Le,MA"
