,ttB1,ttB2,ttC,ttD1,ttD2,ttE1,ttE2,word,behavior,name
0,612.84,997.71,629.28,175.76,6.88,1789.56,472.42,E1B2CB1E2D1D2,"MS,ME,Le,MA",Trial01
1,49.56,168.8,371.28,113.92,11.52,957.84,89.05,E1CB2D1E2B1D2,"MS,ME,Le,MA",Trial02
2,428.4,382.3,15.08,2.62,0.0,687.96,1452.99,E2E1B1B2CD1,"MS,ME,Ae,HA",Trial03
3,2943.2,1343.1,514.9,319.9,25.48,56.16,1.64,B1B2CD1E1D2E2,"HS,ME,Me,LA",Trial04
4,3495.96,2761.56,591.09,97.65,0.02,73.8,21.46,B1B2CD1E1E2D2,"HS,ME,Le,MA",Trial05
5,2171.7,951.05,162.84,278.63,143.04,529.74,50.88,B1B2E1D1CD2E2,"HS,ME,Me,LA",Trial06
6,2806.4,1796.56,816.92,147.9,6.96,363.6,21.93,B1B2CE1D1E2D2,"HS,ME,Le,MA",Trial07
7,3117.8,1277.1,340.48,129.57,3.2,37.8,66.92,B1B2CD1E2E1D2,"HS,ME,Le,MA",Trial08
8,1127.78,885.82,94.36,0.0,0.0,232.1,876.36,B1B2E2E1C,"HS,LE,Ae,MA",Trial09
9,295.2,224.52,175.23,587.7,146.25,25.62,718.7,E2D1B1B2CD2E1,"MS,ME,Me,HA",Trial10
10,5031.26,1523.54,145.18,12.02,1.45,250.0,31.11,B1B2E1CE2D1D2,"HS,ME,Le,MA",Trial11
11,226.48,17.36,104.4,158.85,43.05,688.87,692.91,E2E1B1D1CD2B2,"MS,ME,Me,HA",Trial12
12,4456.96,3162.15,669.9,153.06,8.42,89.94,0.0,B1B2CD1E1D2,"HS,ME,Le,AA",Trial13
13,0.0,0.73,0.27,0.0,0.0,0.93,33.62,E2E1B2C,"AS,LE,Ae,HA",Trial14
14,2402.18,240.48,193.9,176.33,18.54,0.0,0.0,B1B2CD1D2,"HS,ME,Le,AA",Trial15
15,2024.64,2267.46,336.56,15.24,0.55,390.55,74.12,B2B1E1CE2D1D2,"MS,ME,Le,MA",Trial16
16,1216.01,2050.23,1101.62,575.96,38.46,178.83,222.78,B2B1CD1E2E1D2,"MS,ME,Le,MA",Trial17
17,3900.8,3436.64,1041.91,64.32,1.74,829.95,10.77,B1B2CE1D1E2D2,"HS,ME,Le,MA",Trial18
18,2727.4,494.78,318.8,709.17,173.28,4.94,0.0,B1D1B2CD2E1,"HS,ME,Me,AA",Trial19
19,1322.04,1549.26,1519.05,2323.62,1329.8,179.36,7.98,D1B2CD2B1E1E2,"MS,ME,Me,LA",Trial20
20,1743.56,4829.0,3224.5,792.11,1.95,148.8,19.06,B2CB1D1E1E2D2,"MS,ME,Le,MA",Trial21
21,2142.48,1996.56,795.08,141.89,4.8,492.2,226.55,B1B2CE1E2D1D2,"HS,ME,Le,MA",Trial22
22,1235.85,748.28,623.74,495.3,8.76,456.36,695.04,B1B2E2CD1E1D2,"HS,ME,Le,MA",Trial23
23,286.65,519.27,513.57,645.84,32.45,1885.52,1736.25,E1E2D1B2CB1D2,"MS,ME,Le,MA",Trial24
24,1307.76,131.4,40.24,5.2,1.3,172.8,263.96,B1E2E1B2CD1D2,"HS,ME,Le,MA",Trial25
25,2616.02,4765.6,3514.63,821.34,39.41,217.23,452.64,B2CB1D1E2E1D2,"MS,ME,Le,MA",Trial26
26,1228.5,2066.0,994.41,135.12,0.98,24.32,601.32,B2B1CE2D1E1D2,"MS,ME,Le,MA",Trial27
